grade_span,configuration,n_pairs_available,sample_size,true_tau,best_family,tau_mean,tau_sd,tau_bias,ci_width
1,G4toG5_span1,57944,500,0.710494087575184,frank,0.704078800018456,0.0103900460937275,0.000313736237373075,0.0343231670061095
1,G4toG5_span1,57944,1000,0.710494087575184,frank,0.703844623912647,0.00697277084303445,7.95601315640715e-05,0.0217689996630375
1,G4toG5_span1,57944,2000,0.710494087575184,frank,0.703491795366702,0.0053375973392715,-0.000273268414380912,0.0168805587528877
2,G4toG6_span2,55385,500,0.678291965746122,frank,0.672989249974358,0.0128203829926793,0.00122811276237422,0.0392627215466794
2,G4toG6_span2,55385,1000,0.678291965746122,frank,0.670725682940057,0.00802982115890722,-0.00103545427192719,0.0265780123361273
2,G4toG6_span2,55385,2000,0.678291965746122,frank,0.670961334132285,0.00610786943261964,-0.000799803079698735,0.019742134930231
3,G4toG7_span3,53981,500,0.652060058787067,frank,0.646792077377139,0.0132980389472958,0.00103711913650173,0.0440118022604434
3,G4toG7_span3,53981,1000,0.652060058787067,frank,0.64455634511973,0.0083105237933348,-0.00119861312090663,0.0260551856690926
3,G4toG7_span3,53981,2000,0.652060058787067,frank,0.646104866461154,0.00580231699609217,0.000349908220516615,0.0190745477918347
4,G4toG8_span4,51423,500,0.624701930194472,frank,0.617654623959585,0.0145479209598625,-0.00102492294171175,0.0425571109292867
4,G4toG8_span4,51423,1000,0.624701930194472,frank,0.619320587550498,0.0101221918874512,0.000641040649200897,0.0311776781866362
4,G4toG8_span4,51423,2000,0.624701930194472,frank,0.619152861742881,0.00737098502158162,0.000473314841583861,0.0242163041694158
1,G5toG6_span1,56477,500,0.71873335049039,frank,0.712334031447505,0.0107799271379333,0.000179752421022972,0.0350978616327813
1,G5toG6_span1,56477,1000,0.71873335049039,frank,0.712963759087451,0.00725650591786423,0.000809480060968926,0.022475291870391
1,G5toG6_span1,56477,2000,0.71873335049039,frank,0.712174753595054,0.00541593852135333,2.04745685715713e-05,0.0177315061628062
3,G5toG8_span3,52904,500,0.675205664472385,frank,0.66676985563512,0.0130828354617317,-0.00118813873758028,0.0439394488766517
3,G5toG8_span3,52904,1000,0.675205664472385,frank,0.667176991174759,0.00813126495864172,-0.000781003197941499,0.0241873230867686
3,G5toG8_span3,52904,2000,0.675205664472385,frank,0.668334618554516,0.00584279825870998,0.000376624181815943,0.0184844503614277
