family,n_successful,tau_mean,tau_sd,tau_median,tau_q05,tau_q95,ci_width,tau_true,tau_bias,selection_freq,n_prior,n_current,config
t,100,0.598066188222103,0.0321196085629221,0.598415091909151,0.544219037541301,0.651465246158837,0.107246208617536,0.598225495357016,-0.000159307134913522,0.39,100,100,G4to8_4yr
frank,100,0.619453776010048,0.0314409763972931,0.617355914603875,0.565429233608851,0.667278790265397,0.101849556656546,0.618679546901297,0.000774229108751245,0.61,100,100,G4to8_4yr
t,100,0.603062935056314,0.0225229598234662,0.603242857088221,0.569206638938498,0.643817672228876,0.0746110332903784,0.598225495357016,0.00483743969929762,0.37,250,250,G4to8_4yr
frank,100,0.623942608381963,0.0200044351480958,0.624151739080371,0.594887572509985,0.655931391004683,0.0610438184946976,0.618679546901297,0.00526306148066624,0.63,250,250,G4to8_4yr
t,100,0.599233149099027,0.0162073494195363,0.598132336727274,0.572311772583114,0.62534497537964,0.0530332027965266,0.598225495357016,0.00100765374201084,0.37,500,500,G4to8_4yr
frank,100,0.619012954539146,0.0138101919360732,0.618609254027787,0.598950127237661,0.641366082752833,0.0424159555151716,0.618679546901297,0.000333407637848726,0.63,500,500,G4to8_4yr
t,100,0.597240972225512,0.012335958164444,0.597637526159028,0.577085798451804,0.616304443685709,0.0392186452339047,0.598225495357016,-0.000984523131504877,0.29,1000,1000,G4to8_4yr
frank,100,0.61764002015155,0.0117988674932367,0.619051354043407,0.597898232992119,0.634951435502893,0.0370532025107734,0.618679546901297,-0.0010395267497465,0.71,1000,1000,G4to8_4yr
t,100,0.598965174871581,0.00830250388623782,0.598199174391784,0.586557844066132,0.611774065458309,0.0252162213921777,0.598225495357016,0.000739679514564551,0.31,2000,2000,G4to8_4yr
frank,100,0.618592023108783,0.00729918451149741,0.617675297902228,0.60885416758826,0.631065515649919,0.0222113480616585,0.618679546901297,-8.75237925139771e-05,0.69,2000,2000,G4to8_4yr
t,100,0.597573642968212,0.00558568165484779,0.597755146047562,0.588307791562567,0.605925741098637,0.01761794953607,0.598225495357016,-0.000651852388804164,0.21,4000,4000,G4to8_4yr
frank,100,0.617834515262384,0.0055302531998072,0.617403002083735,0.606486458918812,0.626779928749102,0.0202934698302899,0.618679546901297,-0.000845031638912919,0.79,4000,4000,G4to8_4yr
t,100,0.592847148562227,0.0238508201005686,0.590676332072211,0.558008563518349,0.632635831392499,0.0746272678741503,0.598225495357016,-0.00537834679478944,0.38,1000,250,G4to8_4yr
frank,100,0.616228784731277,0.0218162022679465,0.617243382784902,0.575270174641708,0.652322546823317,0.0770523721816093,0.618679546901297,-0.00245076217002005,0.62,1000,250,G4to8_4yr
t,100,0.598829270019597,0.0248130874268158,0.598393065156038,0.550485941320965,0.637990867550097,0.087504926229132,0.598225495357016,0.00060377466258088,0.44,250,1000,G4to8_4yr
frank,100,0.617022490874869,0.020914490293823,0.617134336583439,0.584287611023977,0.651973505528858,0.0676858945048816,0.618679546901297,-0.00165705602642741,0.56,250,1000,G4to8_4yr
t,100,0.597137012685471,0.0168639506720679,0.598347184417378,0.570777425847977,0.622271425949898,0.0514940001019206,0.598225495357016,-0.00108848267154527,0.27,4000,500,G4to8_4yr
frank,100,0.61829548339008,0.0139299604290076,0.617264594762761,0.596822924776695,0.639960446137743,0.0431375213610473,0.618679546901297,-0.000384063511217003,0.73,4000,500,G4to8_4yr
t,100,0.598905380634649,0.0175713207789501,0.599333243332885,0.568054362534053,0.626641332456185,0.0585869699221325,0.598225495357016,0.000679885277632075,0.31,500,4000,G4to8_4yr
frank,100,0.620115929658761,0.0147369272948984,0.619739773873016,0.593229013373572,0.645178928653918,0.0519499152803462,0.618679546901297,0.00143638275746394,0.69,500,4000,G4to8_4yr
